GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Solari - Client Service,br.com.solari.application.usecase,DeleteClient,0,18,0,0,0,3,0,2,0,2
Solari - Client Service,br.com.solari.application.usecase,SearchClient,0,5,0,0,0,1,0,1,0,1
Solari - Client Service,br.com.solari.application.usecase,UpdateClient,0,39,0,0,0,8,0,2,0,2
Solari - Client Service,br.com.solari.application.usecase,CreateClient,0,34,0,2,0,12,0,2,0,1
Solari - Client Service,br.com.solari.application.usecase.exception,ClientNotFoundException,0,12,0,0,0,2,0,1,0,1
Solari - Client Service,br.com.solari.application.usecase.exception,BusinessException,0,10,0,0,0,4,0,1,0,1
Solari - Client Service,br.com.solari.application.usecase.exception,ClientAlreadyExistsException,0,12,0,0,0,2,0,1,0,1
Solari - Client Service,br.com.solari.infrastructure.presenter,ClientPresenter,0,25,0,0,0,9,0,2,0,2
Solari - Client Service,br.com.solari.application.domain,Client,0,64,0,2,0,25,0,4,0,3
Solari - Client Service,br.com.solari.application.domain,Address,5,57,1,1,3,21,1,3,0,3
Solari - Client Service,br.com.solari.application.gateway.exception,GatewayException,7,0,0,0,3,0,1,0,1,0
Solari - Client Service,br.com.solari.application.domain.exception,ErrorDetail,0,12,0,0,0,1,0,1,0,1
Solari - Client Service,br.com.solari.application.domain.exception,DomainException,0,13,0,0,0,5,0,1,0,1
Solari - Client Service,br.com.solari.infrastructure.controller,ClientController,0,69,0,0,0,15,0,7,0,7
Solari - Client Service,br.com.solari.infrastructure.gateway,ClientGatewayImpl,31,157,2,2,2,49,3,7,1,7
Solari - Client Service,br.com.solari.infrastructure.presenter.response,ClientPresenterResponse,0,21,0,0,0,1,0,1,0,1
